numero,archivo_original,nombre_asignado,fecha_o_recorrido_identificable
1,"DSC04019.JPG","Playera Bandera Siera sin mangas","1995"
2,"DSC04020.JPG","Playera templo de Zongolica con franja tricolor","1996"
3,"DSC04021.JPG","Playera Siera con vivos verdes","X Recorrido"
4,"DSC04022.JPG","Playera sin mangas reverso","VI Recorrido"
5,"DSC04023.JPG","Inicio de la Independencia","1810-1996"
6,"DSC04024.JPG","Playera texto amarillo","X Recorrido"
7,"DSC04026.JPG","Playera Zongolica con retrato","1810-2000"
8,"DSC04027.JPG","Playera reverso","XI Recorrido"
9,"DSC04028.JPG","Playera paisaje","XII Recorrido"
10,"DSC04030.JPG","Playera Zongolica Veracruz","1810-2001"
11,"DSC04032.JPG","Playera emblema Bandera Siera","Recorrido de la Insurgencia"
12,"DSC04033.JPG","Playera emblema Zongolica Veracruz","Reverso"
13,"DSC04035.JPG","Playera Ayuntamiento de Zongolica y Bandera Siera","2005"
14,"DSC04036.JPG","Playera Cuauhtototl","XVII Recorrido"
15,"DSC04038.JPG","Playera tipo polo Bandera Siera","Sin fecha visible"
16,"DSC04039.JPG","Playera frente","XXII Recorrido"
17,"DSC04040.JPG","Playera municipios reverso","XXII Recorrido"
18,"DSC04042.JPG","Playera emblema Zongolica","2006"
19,"DSC04044.JPG","Playera municipios reverso","XVIII Recorrido 2006"
20,"DSC04045.JPG","Playera Zongolica y Bandera Siera","1810-2003"
21,"DSC04048.JPG","Playera Cuauhtototl reverso","XVI Recorrido"
22,"DSC04049.JPG","Playera corredor frente","XX Recorrido"
23,"DSC04052.JPG","Playera municipios reverso","XX Recorrido"
24,"DSC04053.JPG","Playera frente","XIII Recorrido 2002"
25,"DSC04055.JPG","Playera Juan Moctezuma y Cortes reverso","XIII Recorrido 1810-2002"
26,"DSC04059.JPG","Playera Zongolica","XVIII Recorrido 2006"
